,,,fact_bookings,,,,,,,,
booking_id,property_id,booking_date,check_in_date,checkout_date,no_guests,room_category,booking_platform,ratings_given,booking_status,revenue_generated,revenue_realized
May012216558RT11,16558,27-04-2022,01-05-2022,02-05-2022,3,RT1,direct online,1,Checked Out,10010,10010
May012216558RT12,16558,30-04-2022,01-05-2022,02-05-2022,2,RT1,others,,Cancelled,9100,3640
May012216558RT13,16558,28-04-2022,01-05-2022,04-05-2022,2,RT1,logtrip,5,Checked Out,9100,9100
May012216558RT14,16558,28-04-2022,01-05-2022,02-05-2022,2,RT1,others,,Cancelled,9100,3640
,,,,,9,,,,,,
,,,,,,,,,,,
,,,dim_date,,,,,,,,
,,,date,mmm yy,week no,day_type,,,,,
,,,01-May-22,May-22,W 19,weekend,,,,,
,,,02-May-22,May-22,W 19,weekeday,,,,,
,,,03-May-22,May-22,W 19,weekeday,,,,,
,,,04-May-22,May-22,W 19,weekeday,,,,,
,,,05-May-22,May-22,W 19,weekeday,,,,,
,,,,,,,,,,,
,,,dim_rooms,,,,,,,,
,property_id,property_name,category,city,,,,,,,
,16558,Atliq Grands,Luxury,Delhi,,,,,,,
,16559,Atliq Exotica,Luxury,Mumbai,,,,,,,
,16560,Atliq City,Business,Delhi,,,,,,,
,16561,Atliq Blu,Luxury,Delhi,,,,,,,
,,,,,,,,,,,
,,,dim_Hotel,,,,,,,,
,,,,,,room_id,room_class,,,,
,,,,,,RT1,Standard,,,,
,,,,,,RT2,Elite,,,,
,,,,,,RT3,Premium,,,,
,,,,,,RT4,Presidential,,,,
,,,,,,,,,,,
,,,fact_aggregated_bookingd,,,,,,,,
,property_id,check_in_date,room_category,successful_bookings,capacity,,,,,,
,16559,01-May-22,RT1,25,30,,,,,,
,19562,01-May-22,RT1,28,30,,,,,,
,19563,01-May-22,RT1,23,30,,,,,,
,17558,01-May-22,RT1,13,19,,,,,,
,16558,01-May-22,RT1,18,19,,,,,,
,17560,01-May-22,RT1,28,40,,,,,,
,,,,135,168,,,,,,
